,Planet Name,Planet Mass,Planet Radius,Distance from Earth,Star Name,Equilibrium Temperature,Stellar Temperature,Stellar Radius,Distance from Host Star,Number of Planets in System,Habitability
109,Kepler-1073 d,2.82,1.488,809.897,Kepler-1073,1369.0,5509.0,1.116,0.0352,0,3
110,Kepler-1074 b,2.1,1.25,250.817,Kepler-1074,568.0,3974.0,0.564,0.0536,0,1
111,Kepler-1075 b,2.6,1.42,291.275,Kepler-1075,818.0,3746.0,0.51,0.0208,0,1
112,Kepler-1076 b,0.437,0.8,199.0,Kepler-1076,770.0,4997.0,0.746,0.0611,0,1
113,Kepler-1077 b,8.1,2.77,1101.42,Kepler-1077,576.0,6091.0,0.967,0.2101,0,1
114,Kepler-1078 b,4.27,1.9,2481.71,Kepler-1078,1122.0,5667.0,0.781,0.0388,0,1
115,Kepler-1079 b,3.29,1.63,591.098,Kepler-1079,887.0,5636.0,1.39,0.1092,0,1
116,Kepler-108 b,56.0,8.65,338.732,Kepler-108,669.0,5626.0,2.057,0.292,0,2
117,Kepler-108 c,50.9,8.18,338.732,Kepler-108,426.0,5626.0,2.057,0.721,0,2
118,Kepler-1080 b,10.8,3.28,1382.82,Kepler-1080,548.0,6564.0,1.356,0.3781,0,1
119,Kepler-1081 b,1.01,1.01,420.215,Kepler-1081,972.0,5272.0,0.813,0.0466,0,1
120,Kepler-1082 b,1.46,1.12,739.557,Kepler-1082,1827.0,5866.0,1.282,0.0257,0,1
121,Kepler-1083 b,11.2,3.36,902.633,Kepler-1083,448.0,5136.0,0.744,0.1899,0,1
122,Kepler-1084 b,1.41,1.11,405.533,Kepler-1084,1737.0,6084.0,1.358,0.0324,0,1
123,Kepler-1085 b,41.2,7.22,1364.53,Kepler-1085,313.0,6063.0,1.012,0.7391,0,2
124,Kepler-1085 c,10.7,3.268,1364.53,Kepler-1085,491.0,6063.0,1.012,0.3002,0,2
125,Kepler-1086 b,6.53,2.44,466.084,Kepler-1086,433.0,4243.0,0.641,0.1198,0,2
126,Kepler-1086 c,8.96,2.94,466.084,Kepler-1086,211.0,4243.0,0.641,0.503,0,2
127,Kepler-1087 b,0.165,0.61,362.623,Kepler-1087,2161.0,5457.0,1.196,0.0148,0,1
128,Kepler-1088 b,2.6,1.42,280.629,Kepler-1088,667.0,5865.0,1.066,0.1602,0,1
129,Kepler-1089 b,4.01,1.83,259.328,Kepler-1089,584.0,3879.0,0.578,0.0497,0,1
130,Kepler-109 b,7.3,2.37,474.861,Kepler-109,1145.0,5945.0,1.302,0.0683,0,2
